persona_id,country,rerouting_proactiveness,information_dependency,time_reliability_preference,risk_aversion,familiar_route_preference,time_sensitivity,external_info_sensitivity,route_flexibility
CN_0007,CN,-0.3444918278764061,-0.015835813880504254,-0.188793970440513,0.5843954645879402,0.7023274559729015,-0.2596329496468479,0.02924027511378339,0.013594043750503841
CN_0008,CN,0.5915985491144318,0.30141969921164863,-1.086558650908627,-0.48091813935233924,-0.3343524496924421,-0.39936249979461025,0.6434184555478463,-1.0646272989634178
CN_0009,CN,0.2618745158092264,0.11587540236620829,-1.0462062693303813,-1.077803678751736,-0.2410080267776229,-0.5777632637483863,0.2227118992419682,-0.7025453082573722
CN_0010,CN,0.298600623209471,0.3455452008956153,-0.6739797350778169,0.16798724798877365,-1.0585475701043259,0.46241333632485104,-0.9753233163087283,0.7029030667531689
CN_0012,CN,-1.0765384924395451,0.16164775072319026,0.6391392891987796,0.001799625359204447,0.008849720419041198,-0.4758127568397975,-1.215678825563911,0.9451677152701127
CN_0013,CN,0.16192644709638285,0.6771812494735119,0.6579600068481699,-0.26617733832557305,-0.7041240647406366,-0.7763948574717651,-1.434292797241801,0.08259178456915792
CN_0014,CN,-0.8241009273016116,-0.002137893743198075,0.10478575321091842,0.2992969920055227,-0.30499279733510626,-1.0835838086365266,-1.4011150397811731,0.4383205229204127
CN_0016,CN,-0.7918073328005674,-0.23870738840458103,0.8900972337165234,0.2255454353824486,-0.7702611387392958,-0.6765008180934469,-0.1023348832652604,0.6419674858946947
CN_0017,CN,1.0523392732894652,-0.03356272651607778,-0.9969737116884474,0.21840502619911747,-0.31011129341914745,0.09865793667345617,-1.0912221218497915,-0.14427003186741683
CN_0018,CN,0.216987664010467,-1.3823416279812113,-1.4521615562720644,0.14337373769467182,-0.4476337599519101,-0.201909780586636,-0.8439147486822947,-0.5891884395317966
CN_0019,CN,-0.4273888026490889,-0.24552774302154887,-0.718854673835898,-0.8269740186639064,0.4390604101803622,-0.31307601323369405,0.06704681130641606,0.6126674767724779
CN_0020,CN,-0.031298129411523684,1.3932819249383555,0.41196132899087434,-0.6414356894437097,0.03250604130065074,0.4300819222612945,-1.4378057095135282,0.10864289713502247
CN_0021,CN,-0.4757926095019008,-1.178023614963139,-0.09187553214230676,0.5367885281114108,0.5462093824906774,-0.03334539207906665,0.39183481763645467,-0.18774070967861958
CN_0022,CN,0.2187695669736057,-0.05986985969992292,0.033415479253779315,-0.09299738586839211,-0.307048561508309,-0.12521914159975547,-0.3768857091258912,0.5087685961658445
CN_0023,CN,-0.5116798332458015,-0.03470709805260116,0.9701480841916356,0.817835560743756,0.5667280029727956,-0.5197208095312806,0.6022421385816102,0.5161675394143701
CN_0024,CN,-1.097879238979542,-1.0177358749119865,-1.7089175563292909,-0.5746815613108501,-0.0891950344464734,-0.6129332583852435,-0.6108854015401376,-0.5925745894596219
CN_0026,CN,0.603829663176827,0.8584590876467063,0.4192610001215923,-0.21114953136696424,-0.27145297210418223,0.2378789011409666,-0.23119955116654853,-0.3249835153878525
CN_0028,CN,-1.4993931936449267,-0.2895290190895481,-0.08047730001986211,1.2681247952211039,0.9066401071974568,0.08614902311474046,-0.7156290669257788,0.09442628399043004
CN_0029,CN,-0.6656563901650177,0.4747142509438901,-0.5623283435721331,0.3041502673141057,-0.5067204789556661,-0.0707484794357944,-0.5884710447628169,0.22211127275087553
CN_0030,CN,-1.2984677976229448,0.019346013621068497,0.5542087097798399,-0.8020128509181907,-0.06303180509081613,0.4740628389517001,0.09871547693009987,-0.10576065141974653
CN_0031,CN,-0.6511981583335182,-0.6188849298914894,0.6711027879217039,-1.1816444572071456,0.4916279678610468,0.900998368957334,0.3524328582133192,0.46955939429938137
CN_0035,CN,-1.2267746800438741,-0.2960474818136909,0.5773961353248958,0.14380829852302204,-0.20173719091971323,0.3597907541281175,-0.4421184745456001,-0.5070669282519192
CN_0036,CN,-0.13073088200993557,0.14730993594641129,0.6360821609807302,-0.11889924888797539,0.3358270206308093,0.6389270676833047,0.4406955538918446,-0.5930569984744881
CN_0038,CN,-0.16503855634902653,-0.5163184118198291,0.32369365348169044,0.8253616812511746,0.4212903810556097,0.5033251179395122,-0.5490297594746425,0.18552308220461625
